conv_id,turn_id,lci,num_retrieved_documents
hobby_level3_dial21,1,0.0,100
hobby_level3_dial21,2,0.051,100
hobby_level3_dial21,3,0.1,100
hobby_level3_dial21,4,0.011,100
hobby_level3_dial21,5,0.006,100
hobby_level3_dial21,6,0.005,100
hobby_level1_dial6,1,0.149,100
hobby_level1_dial6,2,0.165,100
hobby_level1_dial6,3,0.065,100
hobby_level1_dial6,4,0.035,100
hobby_level1_dial6,5,0.054,100
hobby_level1_dial6,6,0.048,100
food_level1_dial22,1,0.23,100
food_level1_dial22,2,0.155,100
food_level1_dial22,3,0.078,100
food_level1_dial22,4,0.09,100
food_level1_dial22,5,0.104,100
food_level1_dial22,6,0.033,100
hobby_level3_dial22,1,0.057,100
hobby_level3_dial22,2,0.024,100
hobby_level3_dial22,3,0.042,100
hobby_level3_dial22,4,0.011,100
food_level1_dial23,1,0.013,100
food_level1_dial23,2,0.04,100
food_level1_dial23,3,0.082,100
food_level1_dial23,4,0.033,100
food_level1_dial23,5,0.191,100
food_level1_dial23,6,0.125,100
food_level2_dial22,1,0.152,100
food_level2_dial22,2,0.185,100
food_level2_dial22,3,0.308,100
food_level2_dial22,4,0.196,100
food_level2_dial22,5,0.122,100
food_level2_dial22,6,0.064,100
hobby_level2_dial29,1,0.235,100
hobby_level2_dial29,2,0.171,100
hobby_level2_dial29,3,0.078,100
hobby_level2_dial29,4,0.172,100
hobby_level2_dial29,5,0.111,100
hobby_level2_dial29,6,0.049,100
hobby_level3_dial23,1,0.191,100
hobby_level3_dial23,2,0.029,100
hobby_level3_dial23,3,0.026,100
hobby_level3_dial23,4,0.09,100
hobby_level3_dial23,5,0.017,100
top25_dial30,1,0.022,100
top25_dial30,2,0.014,100
top25_dial30,3,0.025,100
top25_dial30,4,0.063,100
top25_dial30,5,0.057,100
top25_dial30,6,0.071,100
food_level1_dial3,1,0.155,100
food_level1_dial3,2,0.079,100
food_level1_dial3,3,0.1,100
food_level1_dial3,4,0.069,100
food_level1_dial3,5,0.019,100
food_level1_dial3,6,0.03,100
hobby_level1_dial7,1,0.067,100
hobby_level1_dial7,2,0.065,100
hobby_level1_dial7,3,0.299,100
hobby_level1_dial7,4,0.004,100
hobby_level1_dial7,5,0.029,100
hobby_level1_dial7,6,0.002,100
hobby_level2_dial3,1,0.27,100
hobby_level2_dial3,2,0.194,100
hobby_level2_dial3,3,0.058,100
hobby_level2_dial3,4,0.101,100
hobby_level2_dial3,5,0.026,100
hobby_level2_dial3,6,0.034,100
food_level3_dial10,1,0.005,100
food_level3_dial10,2,0.063,100
food_level3_dial10,3,0.119,100
food_level3_dial10,4,0.281,100
food_level3_dial10,5,0.115,100
food_level3_dial10,6,0.116,100
food_level1_dial4,1,0.04,100
food_level1_dial4,2,0.066,100
food_level1_dial4,3,0.028,100
food_level1_dial4,4,0.089,100
food_level1_dial4,5,0.084,100
food_level1_dial4,6,0.149,100
food_level3_dial6,1,0.079,100
food_level3_dial6,2,0.129,100
food_level3_dial6,3,0.181,100
food_level3_dial6,4,0.292,100
food_level3_dial6,5,0.084,100
food_level3_dial6,6,0.074,100
top25_dial31,1,0.106,100
top25_dial31,2,0.07,100
top25_dial31,3,0.094,100
top25_dial31,4,0.058,100
top25_dial31,5,0.005,100
top25_dial31,6,0.036,100
top25_dial10,1,0.1,100
top25_dial10,2,0.203,100
top25_dial10,3,0.002,100
top25_dial10,4,0.302,100
top25_dial10,5,0.144,100
top25_dial10,6,0.07,100
food_level2_dial23,1,0.383,100
food_level2_dial23,2,0.196,100
food_level2_dial23,3,0.782,100
food_level2_dial23,4,0.196,100
food_level2_dial23,5,0.216,100
food_level2_dial23,6,0.401,100
hobby_level3_dial24,1,0.141,100
hobby_level3_dial24,2,0.263,100
hobby_level3_dial24,3,0.019,100
hobby_level3_dial24,4,0.102,100
hobby_level3_dial24,5,0.033,100
hobby_level3_dial24,6,0.317,100
hobby_level2_dial30,1,0.032,100
hobby_level2_dial30,2,0.153,100
hobby_level2_dial30,3,0.152,100
hobby_level2_dial30,4,0.02,100
hobby_level2_dial30,5,0.038,100
hobby_level2_dial30,6,0.008,100
top25_dial58,1,0.234,100
top25_dial58,2,0.409,100
top25_dial58,3,0.222,100
top25_dial58,4,0.284,100
top25_dial58,5,0.175,100
top25_dial58,6,0.013,100
top25_dial58,7,0.011,100
hobby_level1_dial8,1,0.294,100
hobby_level1_dial8,2,0.112,100
hobby_level1_dial8,3,0.021,100
top25_dial32,1,0.696,100
top25_dial32,2,0.019,100
top25_dial32,3,0.395,100
top25_dial32,4,0.299,100
top25_dial32,5,0.03,100
top25_dial32,6,0.665,100
food_level1_dial5,1,0.28,100
food_level1_dial5,2,0.159,100
food_level1_dial5,3,0.123,100
food_level1_dial5,4,0.038,100
food_level1_dial5,5,0.137,100
food_level1_dial5,6,0.113,100
top25_dial11,1,0.022,100
top25_dial11,2,0.09,100
top25_dial11,3,0.078,100
top25_dial11,4,0.036,100
top25_dial11,5,0.026,100
top25_dial11,6,0.101,100
food_level3_dial7,1,0.39,100
food_level3_dial7,2,0.384,100
food_level3_dial7,3,0.042,100
food_level3_dial7,4,0.065,100
food_level3_dial7,5,0.041,100
food_level3_dial7,6,0.044,100
hobby_level2_dial31,1,0.156,100
hobby_level2_dial31,2,0.331,100
hobby_level2_dial31,3,0.188,100
hobby_level2_dial31,4,0.272,100
hobby_level2_dial31,5,0.109,100
hobby_level2_dial31,6,0.007,100
hobby_level1_dial9,1,0.132,100
